23:40:16.694 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
23:13:18.775 [ApplicationImpl pooled thread 1098] INFO  c.b.l.BrowserStackRunExtension - testng
23:13:18.775 [ApplicationImpl pooled thread 1098] INFO  com.browserstack.utils.Helpers - null
23:13:18.775 [ApplicationImpl pooled thread 1098] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:25:06.354 [ApplicationImpl pooled thread 2] INFO  c.b.l.BrowserStackRunExtension - testng
22:25:06.355 [ApplicationImpl pooled thread 2] INFO  com.browserstack.utils.Helpers - null
22:25:06.356 [ApplicationImpl pooled thread 2] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:26:43.885 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - testng
23:26:43.885 [ApplicationImpl pooled thread 50] INFO  com.browserstack.utils.Helpers - null
23:26:43.885 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:27:54.386 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - testng
23:27:54.387 [ApplicationImpl pooled thread 49] INFO  com.browserstack.utils.Helpers - null
23:27:54.387 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:59:51.496 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - testng
23:59:51.496 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - null
23:59:51.497 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:00:22.662 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - testng
00:00:22.663 [ApplicationImpl pooled thread 62] INFO  com.browserstack.utils.Helpers - null
00:00:22.663 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:47:15.286 [ApplicationImpl pooled thread 95] INFO  c.b.l.BrowserStackRunExtension - testng
13:47:15.286 [ApplicationImpl pooled thread 95] INFO  com.browserstack.utils.Helpers - null
13:47:15.287 [ApplicationImpl pooled thread 95] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:36:19.074 [ApplicationImpl pooled thread 128] INFO  c.b.l.BrowserStackRunExtension - testng
14:36:19.074 [ApplicationImpl pooled thread 128] INFO  com.browserstack.utils.Helpers - null
14:36:19.076 [ApplicationImpl pooled thread 128] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:37:21.068 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - testng
14:37:21.068 [ApplicationImpl pooled thread 130] INFO  com.browserstack.utils.Helpers - null
14:37:21.068 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:41:33.467 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
14:41:33.467 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
14:41:33.467 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:41:58.182 [ApplicationImpl pooled thread 137] INFO  c.b.l.BrowserStackRunExtension - testng
14:41:58.182 [ApplicationImpl pooled thread 137] INFO  com.browserstack.utils.Helpers - null
14:41:58.183 [ApplicationImpl pooled thread 137] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:44:27.886 [ApplicationImpl pooled thread 139] INFO  c.b.l.BrowserStackRunExtension - testng
14:44:27.886 [ApplicationImpl pooled thread 139] INFO  com.browserstack.utils.Helpers - null
14:44:27.887 [ApplicationImpl pooled thread 139] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:51:29.396 [ApplicationImpl pooled thread 146] INFO  c.b.l.BrowserStackRunExtension - testng
14:51:29.396 [ApplicationImpl pooled thread 146] INFO  com.browserstack.utils.Helpers - null
14:51:29.396 [ApplicationImpl pooled thread 146] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:17:42.009 [ApplicationImpl pooled thread 164] INFO  c.b.l.BrowserStackRunExtension - testng
15:17:42.009 [ApplicationImpl pooled thread 164] INFO  com.browserstack.utils.Helpers - null
